,caption,category
0,A bread that promotes health.,bread
1,A tasty treat for your tummy.,bread
2,Coffee goes well with our bread.,bread
3,This bread makes the best sandwiches.,bread
4,Your first meal should be the healthiest.,bread
5,We are here to serve you the best bread ever.,bread
6,"When in doubt, eat bread.",bread
7,This bread goes well with eggs.,bread
8,No time to cook a large meal? Have breads with eggs.,bread
9,Love Zucchini? We have zucchini bread for you.,bread
10,"Stale bread, Pita bread and Zucchini bread, we have them all.",bread
11,Sweet tooth? Try banana nut bread and some coffee.,bread
12,You will ask for more.,bread
13,Freshness is the key.,bread
14,Love and patience are the main ingredients of our recipe.,bread
15,This bread saves you from hunger.,bread
16,"We got multi grain breads for you, with loads fiber.",bread
17,The fiber in our bread keeps you full for the longest time.,bread
18,"Eat fresh, stay healthy.",bread
19,Love breads? Try ours and you would never try a different brand.,bread
20,Freshness is our specialty.,bread
21,Having bread with coffee and egg is all you need.,bread
22,"Say bye to hunger, have breads.",bread
23,Big family and feeling lazy to cook meal? Just serve breads.,bread
24,"What else one need, when they have breads in the kitchen.",bread
25,Make breakfast complete.,bread
26,Visiting your family? Don’t cook. Save time and eat bread.,bread
27,Late night studies? Keep some bread ready for late night hunger.,bread
28,"Breads can’t go wrong with butter, eggs and coffee.",bread
29,Not sure what to cook? Make something out of these breads.,bread
30,Different breads for your different recipes.,bread
31,Serve the goodness of our bread to your family.,bread
32,Healthy and tasty.,bread
33,No compromise on taste and health both.,bread
34,We want you to taste the best.,bread
35,Your taste buds are going to ask for more.,bread
36,Hungry and nothing in refrigerator? You can always go for bread.,bread
37,"Brown bread for your health, without customizing taste.",bread
38,Splash Bread All Over.,bread
39,"Think positive, think Bread.",bread
40,Problem? The Solution: Bread.,bread
41,Everything is simple with Bread.,bread
42,It’s a Lot Less Bread than a Hover.,bread
43,Now with 50% more Bread!,bread
44,"Naughty, but Bread.",bread
45,The Lion Goes from Bread to Bread.,bread
46,Bread forever.,bread
47,We All Adore Bread.,bread
48,Wouldn’t You Rather Be Bread?,bread
49,Bread building a better tomorrow.,bread
50,It’s the Bread Fizz That Does The Bizz.,bread
51,"Bread, you know you want it.",bread
52,Just for the Taste of Bread.,bread
53,Ask the Man From the Bread.,bread
54,Bread the choice cut.,bread
55,I’m Cuckoo For Bread.,bread
56,Food or Bread? I’ll have Bread.,bread
57,The spirit of Bread.,bread
58,You Can’t Get Quicker Than a Bread Fitter.,bread
59,Bread groove.,bread
60,"Bread, when no one else is around.",bread
61,Have You Forgotten How Good Bread Tastes?,bread
62,I love Bread.,bread
63,The Lighter Way To Enjoy Bread.,bread
64,Simply the best Bread.,bread
65,"Tense, Nervous, Bread?",bread
66,"For a Hard-Earned Thirst, Bread.",bread
67,Bread – spice up your life.,bread
68,Bread is a winner!,bread
69,There’s More Than One Way To Eat A Bread.,bread
70,Pure Bread. Pure Power.,bread
71,Our Bread beats last year’s Bread.,bread
72,Make Someone Happy with a Bread.,bread
73,Bread right as rain.,bread
74,Time To Make The Bread.,bread
75,Nonstop Bread.,bread
76,Behold the Power of Bread.,bread
77,Bread heads above the rest.,bread
78,Bread – see the light!,bread
79,Order a Bread today.,bread
80,Feel good with Bread.,bread
81,Bread – get ready.,bread
82,Fill It To The Rim With Bread.,bread
83,You better get inside Bread.,bread
84,Bread is forever.,bread
85,"Bread, When there’s nothing else.",bread
86,"Designed for Bread, Engineered to Last.",bread
87,Bread Is Good For You.,bread
88,"Uh-Oh, Better Get Bread.",bread
89,"Come To Bread, And Let’s Get It Done.",bread
90,"Bread, The Real Thing.",bread
91,The Appliance Of Bread.,bread
92,Things Go Better With Bread.,bread
93,Bread Beat.,bread
94,Bread Quality You Can See.,bread
95,Bread For Hire.,bread
96,The Goddess Made Bread.,bread
97,The Bread That Smiles Back.,bread
