,Unnamed: 0,photo_id,category
248,248,validation\Bread\325.jpg,Bread
180,180,validation\Bread\264.jpg,Bread
85,85,validation\Bread\179.jpg,Bread
142,142,validation\Bread\23.jpg,Bread
140,140,validation\Bread\228.jpg,Bread
52,52,validation\Bread\149.jpg,Bread
190,190,validation\Bread\273.jpg,Bread
357,357,validation\Bread\99.jpg,Bread
151,151,validation\Bread\238.jpg,Bread
314,314,validation\Bread\6.jpg,Bread
183,183,validation\Bread\267.jpg,Bread
64,64,validation\Bread\16.jpg,Bread
322,322,validation\Bread\67.jpg,Bread
251,251,validation\Bread\328.jpg,Bread
130,130,validation\Bread\219.jpg,Bread
256,256,validation\Bread\332.jpg,Bread
254,254,validation\Bread\330.jpg,Bread
92,92,validation\Bread\185.jpg,Bread
32,32,validation\Bread\130.jpg,Bread
188,188,validation\Bread\271.jpg,Bread
177,177,validation\Bread\261.jpg,Bread
332,332,validation\Bread\76.jpg,Bread
276,276,validation\Bread\350.jpg,Bread
262,262,validation\Bread\338.jpg,Bread
90,90,validation\Bread\183.jpg,Bread
12,12,validation\Bread\112.jpg,Bread
103,103,validation\Bread\195.jpg,Bread
173,173,validation\Bread\258.jpg,Bread
27,27,validation\Bread\126.jpg,Bread
233,233,validation\Bread\311.jpg,Bread
292,292,validation\Bread\4.jpg,Bread
324,324,validation\Bread\69.jpg,Bread
294,294,validation\Bread\41.jpg,Bread
96,96,validation\Bread\189.jpg,Bread
75,75,validation\Bread\17.jpg,Bread
133,133,validation\Bread\221.jpg,Bread
193,193,validation\Bread\276.jpg,Bread
237,237,validation\Bread\315.jpg,Bread
298,298,validation\Bread\45.jpg,Bread
191,191,validation\Bread\274.jpg,Bread
94,94,validation\Bread\187.jpg,Bread
209,209,validation\Bread\290.jpg,Bread
340,340,validation\Bread\83.jpg,Bread
72,72,validation\Bread\167.jpg,Bread
46,46,validation\Bread\143.jpg,Bread
213,213,validation\Bread\294.jpg,Bread
317,317,validation\Bread\62.jpg,Bread
37,37,validation\Bread\135.jpg,Bread
287,287,validation\Bread\360.jpg,Bread
26,26,validation\Bread\125.jpg,Bread
496,496,validation\Dairy product\94.jpg,Dairy product
443,443,validation\Dairy product\46.jpg,Dairy product
488,488,validation\Dairy product\87.jpg,Dairy product
493,493,validation\Dairy product\91.jpg,Dairy product
497,497,validation\Dairy product\95.jpg,Dairy product
445,445,validation\Dairy product\48.jpg,Dairy product
492,492,validation\Dairy product\90.jpg,Dairy product
409,409,validation\Dairy product\15.jpg,Dairy product
369,369,validation\Dairy product\108.jpg,Dairy product
459,459,validation\Dairy product\60.jpg,Dairy product
400,400,validation\Dairy product\136.jpg,Dairy product
390,390,validation\Dairy product\127.jpg,Dairy product
432,432,validation\Dairy product\36.jpg,Dairy product
427,427,validation\Dairy product\31.jpg,Dairy product
399,399,validation\Dairy product\135.jpg,Dairy product
470,470,validation\Dairy product\70.jpg,Dairy product
363,363,validation\Dairy product\102.jpg,Dairy product
404,404,validation\Dairy product\14.jpg,Dairy product
391,391,validation\Dairy product\128.jpg,Dairy product
468,468,validation\Dairy product\69.jpg,Dairy product
395,395,validation\Dairy product\131.jpg,Dairy product
438,438,validation\Dairy product\41.jpg,Dairy product
413,413,validation\Dairy product\19.jpg,Dairy product
441,441,validation\Dairy product\44.jpg,Dairy product
464,464,validation\Dairy product\65.jpg,Dairy product
